official_id;student;team;dataset_source_index;usmle_source_index;question;option_A;option_B;option_C;option_D;option_E;option_F;option_G;option_H;option_I;correct_answer_dataset;correct_answer_usmle;difficulty;specialty;reference_used;explanation;curator_notes
136;Gilson Inácio da Silva;Equipe 2 - Medicina;136;135;"A 58-year-old man comes to the clinic for a follow-up examination 3
months after beginning warfarin therapy for
deep venous thrombosis. He noted blood in his urine 1 week ago but has
not seen any since that time. He has not had
pain, fever, or increased urinary frequency. He has not sustained any recent
trauma. His prothrombin time and INR
have been within the therapeutic ranges during his previous
measurements. He has hypertension and benign
prostatic hyperplasia. Medications are warfarin and hydrochlorothiazide.
He smoked one pack of cigarettes daily for
40 years but quit when diagnosed with deep venous thrombosis.
Temperature is 35.9°C (96.6°F), pulse is 88/min,
respirations are 18/min, and blood pressure is 135/87 mm Hg. The prostate
is moderately enlarged; no nodules are
noted.
Laboratory studies showed that the Prothrombin time is 19 sec (INR=2.5),
serum Urea nitrogen is 18 mg/dL, serum Creatinine is 1 mg/dL, and
Prostate-specific antigen is 3.8 ng/mL (N<4).
The laboratory result on urine showed the following: blood is 3+, protein is
1+, RBC is too numerous to count, WBC is 2/hpf, no casts, and negative for
Nitrites and Leukocyte esterase.
In addition to a CT scan of the abdomen, which of the following is the most
appropriate next step in management?";Adjustment of the warfarin dosage to maintain an INR between 1.5 and;Ciprofloxacin therapy;Cystoscopy;Discontinuation of hydrochlorothiazide therapy;Finasteride therapy;;;;;C;C;Medium;Urology;AUA/SUFU guideline — hematuria evaluation;"Cystoscopy is the most appropriate next step because guidelines and evidence
indicate that all patients with gross hematuria and risk factors—including those
on therapeutic anticoagulation—require prompt urologic evaluation to exclude
malignancy. The patient has gross hematuria, is male, age >35, with a heavy
smoking history; anticoagulation at a therapeutic INR is not considered a
sufficient explanation, and malignancy must be ruled out with cystoscopy plus
upper tract imaging.[1][2][3][4] The American Urological Association (AUA/SUFU)
also recommends cystoscopy as part of risk-based evaluation for hematuria; the
American College of Physicians emphasizes that antithrombotic therapy should
not preclude evaluation.[4][5] Observational data show antithrombotic therapy
can unmask otherwise silent bladder cancers, reinforcing the need for
cystoscopy despite therapeutic INR.[3] Empiric antibiotics are not indicated
without infection, finasteride is a consideration only after exclusion of
malignancy, hydrochlorothiazide is not causally implicated, and down-titration
of warfarin is inappropriate with therapeutic INR.[1][2][6][7]
Therefore, in addition to CT imaging of the upper tracts, the next step is 
Cystoscopy.
To contextualize the diagnostic approach, comparative modeling of guideline
strategies shows that cystoscopy is a core test across risk-based pathways for
hematuria; CT urography is generally reserved for higher-risk presentations
such as gross hematuria or smokers, aligning with this patient’s profile.[8]
Caption: Model Input Variables<|END VISUAL|>";"Gross hematuria in a patient on therapeutic anticoagulation with important urologic risk factors; therapeutic anticoagulation does not exclude evaluation for malignancy, and the appropriate next step is cystoscopy."
137;Gilson Inácio da Silva;Equipe 2 - Medicina;137;136;"A 32-year-old woman is brought to the emergency department
immediately after being involved in a motor vehicle
collision. She was the unrestrained driver. On arrival, she says she has
severe pain in her right groin. On
examination, any movement of the right hip produces pain. An x-ray of the
pelvis shows a completely displaced
fracture of the femoral neck. In addition to intravenous morphine, which of
the following is the most appropriate
management?";Bed rest;Closed reduction followed by traction;Hip spica hinge brace;Limited weight bearing with use of crutches;Operative reduction and internal fixation;;;;;E;E;Medium;Orthopedics / Trauma;Orthopedic trauma literature — displaced femoral neck fracture in young adults;"Operative fixation is indicated. In a young adult with a completely displaced
femoral neck fracture from high-energy trauma, urgent anatomical reduction
and stable internal fixation is the standard to preserve the femoral head and
mitigate risks of osteonecrosis and nonunion; nonoperative options (bed rest,
traction, bracing, limited weight bearing) are inadequate and associated with
poor outcomes.[1][2][3] Contemporary evidence in this age group favors fixed-
angle constructs over multiple cancellous screws alone for displaced patterns,
with augmentation (e.g., sliding hip screw plus medial femoral neck buttress
plate and antirotation screw) improving construct success; surgery should occur
within 24–48 hours when feasible.[1][3][4][5][6]
Correct answer: Operative reduction and internal fixation.
Figure 4 from NEJM illustrates the treatment schema: internal fixation for
femoral-neck fractures and arthroplasty options for displaced fractures in older
adults; for young patients with displaced femoral-neck fractures, the goal is head
preservation via reduction and internal fixation rather than arthroplasty.[1] This
visual reinforces that conservative measures are not definitive care for this injury
pattern.
Figure 4. Selected Treatments for Hip Fracture.
Used under license from The New England Journal of Medicine.
Why not the other options:
Bed rest, traction, hip spica, or limited weight bearing do not address
vascular compromise or instability and carry high risks of nonunion and
avascular necrosis in displaced femoral-neck fractures.[1][2][5][6]
Closed reduction followed by traction is obsolete for definitive care;
definitive internal fixation is required.[1][2][3]
• 
• 
Key operative considerations:
Urgent closed or open reduction to restore alignment and decompress
intracapsular pressure; stable internal fixation with a fixed-angle construct,
often augmented with a medial buttress plate and antirotation screw, has
lower failure than screws alone in displaced fractures in younger adults.[4]
[5]
Early surgery within 24–48 hours optimizes outcomes.[1][3]";"Completely displaced femoral neck fracture in a young adult after high-energy trauma; the appropriate management is operative reduction and internal fixation to preserve the femoral head and reduce the risk of avascular necrosis and nonunion."
138;Gilson Inácio da Silva;Equipe 2 - Medicina;138;137;"A 57-year-old man comes to the physician 1 week after he had a 45-minute
episode of slurred speech and
clumsiness of his right hand. The episode occurred during his daily walk;
the symptoms resolved during the next 24
hours. He has no history of similar symptoms. He has a 20-year history of
hypertension and a 15-year history of
hypercholesterolemia controlled with a low-cholesterol diet and daily
exercise. He takes no medications. He has
smoked one pack of cigarettes daily for 40 years and drinks one to two
glasses of wine nightly with dinner. He is
alert and fully oriented. He is 178 cm (5 ft 10 in) tall and weighs 86 kg (190
lb); BMI is 27 kg/m². His temperature is
37.0°C (98.6°F), pulse is 88/min, respirations are 10/min, and blood
pressure is 170/90 mm Hg. Examination,
including neurologic examination, shows no other abnormalities. Daily
enteric-coated aspirin therapy is begun.
Which of the following is the most appropriate next step to decrease this
patient’s risk for subsequent cerebral
infarction?";Alcohol cessation;Smoking cessation;Weight loss program;Antihypertensive therapy;Cholesterol-lowering therapy;;;;;D;D;Medium;Neurology / Internal Medicine;AHA/ASA guideline — secondary prevention after TIA/stroke;"Antihypertensive therapy.
Rationale: After TIA, blood pressure lowering provides the largest proven
reduction in recurrent stroke risk. The American College of Cardiology/
American Heart Association recommend initiating or intensifying
antihypertensive therapy a few days after TIA when BP is ?140/90 mm Hg, with
preferred agents including a thiazide diuretic, ACE inhibitor, ARB, or a thiazide–
ACE inhibitor combination; a target <130/80 mm Hg is reasonable for most
patients.[1][2] Trials summarized by the American Stroke Association show BP
lowering after stroke/TIA reduces recurrence by roughly 30–40% (e.g.,
indapamide alone; perindopril ± indapamide) and support prioritizing these
classes.[3] This patient’s BP (170/90 mm Hg) is markedly above target, making
antihypertensive therapy the most immediate and impactful next step.
Other measures:
High-intensity statin therapy is recommended for presumed
atherosclerotic TIA and reduces recurrent vascular events, but BP control
has stronger direct evidence for recurrent stroke reduction and is the most
urgent abnormality here.[2][3][4]
Smoking cessation improves outcomes after stroke/TIA and should be
counseled, but effect sizes in observational data are smaller and less
immediate than BP lowering.[3][5]
Alcohol reduction and weight optimization are advisable for risk factor
control, but evidence for preventing recurrent stroke events is less direct.
[3][4]
Agent selection and dosing should be individualized; commonly used regimens
include a thiazide (e.g., chlorthalidone 12.5–25 mg daily) and/or ACE inhibitor
• 
• 
• 
(e.g., perindopril 4–8 mg daily) or ARB, titrated to achieve <130/80 mm Hg as
tolerated.[1][2][3]";"Clinical presentation is consistent with a transient ischemic attack; the key management issue is secondary prevention, and the most appropriate next step to reduce recurrent cerebral infarction risk is antihypertensive therapy because blood pressure is markedly elevated."
139;Gilson Inácio da Silva;Equipe 2 - Medicina;139;138;"A 27-year-old primigravid woman at 21 weeks’ gestation comes to the
emergency department because of a 2-day
history of moderate headache, shortness of breath, nausea, vomiting,
muscle aches, and malaise. She also has had
cough occasionally productive of sputum. Pregnancy had been
uncomplicated. She has no history of serious illness,
and her only medication is a prenatal vitamin. She immigrated to the USA
from India 6 months ago. Temperature is
38.3°C (100.9°F), pulse is 100/min, respirations are 18/min, and blood
pressure is 100/60 mm Hg. On examination,
breath sounds are decreased at the right lung base. Fundal height is 22 cm.
Fetal heart rate is 160/min. Chest x-ray
shows right-sided interstitial infiltrates. Which of the following is the most
likely infectious agent?";Haemophilus influenzae;Influenza A virus;Legionella pneumophila;Mycobacterium tuberculosis;Pseudomonas aeruginosa;;;;;B;B;Medium;Obstetrics / Infectious Diseases;Guidance on influenza in pregnancy;"Influenza A virus
Key reasoning:
Presentation is acute (2 days) with systemic symptoms (fever, myalgias,
headache, malaise, nausea/vomiting) plus cough and tachycardia, which is
typical for influenza-associated community-acquired pneumonia (CAP) in
otherwise healthy young adults; chest radiograph often shows interstitial
infiltrates.[1][2][3]
Pregnancy increases risk for severe influenza and lower respiratory tract
involvement due to physiologic and immunologic changes; influenza A/B is
a leading viral etiology of CAP, and viral etiologies are common in younger
outpatients.[1][4][5][6]
Epidemiology in pregnancy supports influenza as a major cause of acute
respiratory illness with lower respiratory tract involvement; studies in
pregnant cohorts show influenza frequently identified among viral ALRTIs.
The ACOG and the Infectious Diseases Society of America emphasize
prompt recognition and treatment of suspected influenza in pregnancy.[3]
[5][6][7][8]
Less likely alternatives:
Streptococcus pneumoniae and Haemophilus influenzae typically cause
lobar or bronchopneumonia rather than predominant interstitial patterns
and lack prominent systemic myalgias; onset can be less abruptly systemic.
[1][2][4]
Mycobacterium tuberculosis usually presents subacutely/chronic, often
with constitutional symptoms over weeks and upper-lobe involvement;
acute myalgias and abrupt symptom onset are atypical.[1]
Legionella pneumophila would suggest high fevers, GI symptoms,
hyponatremia, and exposure risk; not evident here.[1]
Pseudomonas aeruginosa is uncommon without structural lung disease or
healthcare exposure.[1]
• 
• 
• 
• 
• 
• 
• 
Clinical implication: In pregnancy with suspected influenza, initiate
neuraminidase inhibitor therapy promptly; oseltamivir 75 mg orally twice daily
for 5 days is recommended by the Infectious Diseases Society of America and
ACOG, ideally within 48 hours but not withholding if later.[6][8]";"Pregnant patient with acute fever, myalgias, cough, and interstitial pulmonary infiltrates; the most likely infectious agent is influenza A virus, which is especially important in pregnancy because of increased maternal risk and the need for prompt antiviral treatment."
140;Gilson Inácio da Silva;Equipe 2 - Medicina;140;139;"A 7-year-old boy is brought to the physician because of a 1-year history of
poor performance in school. His parents
say that he is bright, has many friends, and seems to want to do well in
school. His teachers report that he seems
frustrated with his own progress and his inability to meet the expectations
of his parents. Speech fluency and
articulation and motor skills are appropriate for age. Physical examination
shows no abnormalities. When asked to
read during the examination, he has significant difficulty sounding out
words he is unfamiliar with. Visual acuity
test and audiometry show no abnormalities. Which of the following is the
most likely diagnosis?";Attention-deficit/hyperactivity disorder;Expressive language disorder;Intellectual developmental disorder;Learning disorder;Social anxiety disorder (social phobia);;;;;D;D;Medium;Pediatrics / Neurodevelopment;Guidance on specific learning disorder evaluation;"The most likely diagnosis is Learning disorder.
The child has persistent, specific reading impairment—difficulty sounding out
unfamiliar words—despite normal speech, motor skills, and sensory function,
and with otherwise intact cognition and sociability. This pattern is characteristic
of specific learning disorder with impairment in reading (dyslexia), which
requires academic skills substantially below age expectations, persists despite
targeted help, begins in school years, and is not better explained by intellectual
disability, language disorder, or sensory deficits.[1] Expressive language disorder
would present with impaired expressive language (e.g., syntax, verb use), not
isolated decoding failure.[2] Intellectual developmental disorder requires global
deficits in intellectual and adaptive functioning, which are absent here.[3] ADHD
is not suggested by attention/hyperactivity symptoms. Social anxiety disorder
centers on fear of scrutiny and avoidance, not isolated phonologic decoding
deficits.[4] The course is chronic and non-urgent.[5]
To contextualize why social anxiety is unlikely in this vignette (despite poor
school performance), the DSM-5 criteria emphasize fear of negative evaluation
and avoidance of social or performance situations, which are not described in
this case.[4]
Table 1. Diagnostic Criteria for Social Anxiety Disorder.
Used under license from The New England Journal of Medicine.
Key features supporting specific learning disorder (reading/dyslexia):
Persistent inaccurate/effortful word reading and difficulty sounding out
words.[1]
Academic underachievement confined to reading; normal speech fluency/
articulation and normal hearing/vision.[1][2]
No global intellectual/adaptive deficits.[3]
Not better accounted for by anxiety or attentional disorders.[1][4]
The American Psychiatric Association’s DSM-5-TR criteria (2022) specify these
diagnostic elements and exclusion criteria.[1]
• 
• 
• 
•";"Child with persistent difficulty sounding out unfamiliar words despite normal hearing, vision, speech, and motor development; the presentation is most consistent with specific learning disorder with impairment in reading."
141;Gilson Inácio da Silva;Equipe 2 - Medicina;141;140;"A 23-year-old woman who is an active-duty enlisted airman in the US Air
Force comes to the base clinic because of
a 4-week history of an itchy sensation in her right ear. She has not had
ringing in her ears or hearing loss. She works
as a fuel specialist and at first attributed her symptom to the earplugs she
uses when she is on the flight line. The
symptom has not improved despite the patient's wearing headphones
instead of the earplugs during the past 2 weeks.
She has no history of serious illness and takes no medications. Vital signs
are within normal limits. During
examination, pulling of the right pinna inferiorly to examine the ear canal
produces pain. The right ear canal appears
erythematous and edematous. The tympanic membrane cannot be fully
visualized because of the presence of
cerumen. Examination of the left ear shows no abnormalities. Which of the
following is the most likely diagnosis?";Cerumen impaction;Ear canal trauma;Otitis externa;Polychondritis;Seborrheic dermatitis;;;;;C;C;Easy;Otolaryngology;Clinical practice guideline — acute otitis externa;"Otitis externa (C)
The most likely diagnosis is otitis externa because the patient’s symptoms and
examination findings—especially pain with pinna movement and canal
inflammation—are classic for this condition and are best explained by infection
of the external auditory canal rather than cerumen impaction, trauma, or
dermatologic disease.[1][2][3][4][5] Pruritus, canal erythema/edema, and marked
tenderness with manipulation of the pinna or tragus are hallmark features;
occupational earplug use and minor canal trauma are common precipitants.[1][2]
[3][5][6][7] Cerumen impaction alone would not cause pain with pinna
movement or diffuse canal edema; trauma typically requires a clear inciting
injury with focal findings; polychondritis involves the cartilaginous pinna sparing
the lobule, often bilateral and systemic; seborrheic dermatitis causes scaling/
erythema without severe tragal/pinna tenderness or canal edema.[2][3][4][8]
The diagnosis is clinical; absence of systemic symptoms and unilateral canal
inflammation further support uncomplicated acute otitis externa in this setting.
[1][2][3][4]";Itchy ear with pain on pinna manipulation, erythematous and edematous external canal, and no major systemic symptoms are classic for acute otitis externa.
142;Gilson Inácio da Silva;Equipe 2 - Medicina;142;141;"A 34-year-old woman who is on active duty in the US Army comes to the
military urgent care clinic because of a 4-
day history of headache, purulent nasal discharge, and left facial pain. She
has not had fever or chills. She has
chronic bilateral knee pain, which she attributes to multiple parachute
jumps while she was assigned to an airborne
unit 7 years ago. The knee pain is exacerbated by long-distance running on
pavement. Her only medication is
occasional ibuprofen for the knee pain. The patient has no known
medication allergies. Temperature is 37.1°C
(98.8°F), pulse is 60/min, respirations are 14/min, and blood pressure is
122/80 mm Hg. Cervical lymph nodes are
not palpable. There is tenderness to palpation over the left maxillary sinus.
Nasal examination shows inflamed
turbinates and purulent discharge. The patient needs to blow her nose
twice during the examination. Bilateral
otoscopic examination discloses no abnormalities. Examination of the
oropharynx shows scant purulent discharge
posteriorly. The remainder of the examination discloses no abnormalities.
Which of the following is the most
appropriate next step in management?";CT scan of the sinuses;Gram stain and culture of nasal discharge;Ibuprofen and decongestant therapy;Trimethoprim-sulfamethoxazole therapy;X-ray of the sinuses;;;;;C;C;Easy;Otolaryngology / Internal Medicine;Guidance on acute rhinosinusitis;"The most appropriate next step is symptomatic management with analgesics and
decongestants for uncomplicated acute rhinosinusitis of 4 days’ duration.
Therefore, the correct answer is: Ibuprofen and decongestant therapy.
Rationale:
Presentation is consistent with viral acute rhinosinusitis (<7–10 days,
nonsevere, no “double sickening”), for which watchful waiting and
symptomatic therapy are recommended; antibiotics are reserved for
persistent (>10 days), severe, or worsening illness.[1][2][3][4]
Imaging (CT or X-ray) and routine Gram stain/culture of nasal discharge
are not indicated in uncomplicated cases.[2][3][5][6]
Trimethoprim–sulfamethoxazole is not recommended empirically due to
high resistance in S. pneumoniae and H. influenzae (IDSA).[7]
Practical symptomatic options:
Ibuprofen as needed for pain; consider intranasal corticosteroids and brief
topical nasal decongestant use (?3–5 days) or oral decongestants for
congestion; saline irrigation may help with purulent drainage.[1][2][4][8]
If symptoms persist beyond 7–10 days or worsen, initiate antibiotics (e.g.,
amoxicillin or amoxicillin–clavulanate per guideline).[1][2][4]
To contextualize when antibiotics would be used if criteria are later met, the
following table lists recommended antibiotic options and dosing from NEJM.[1]
• 
• 
• 
• 
Here is a concise table of recommended first-line antibiotic options and dosing
for adults with acute bacterial sinusitis, useful if watchful waiting fails or severe
criteria develop:
Table 1. Recommended Antibiotics for the Treatment of Acute Bacterial Sinusitis in Adults.
Used under license from The New England Journal of Medicine.
Citations: NEJM clinical practice review on acute sinusitis; AAFP reviews; ACP/
CDC high-value care advice; American Academy of Otolaryngology–Head and
Neck Surgery guideline; IDSA ABRS guideline (Trimethoprim–sulfamethoxazole
not recommended); IDSA/ASM diagnostic microbiology guidance (avoid nasal
discharge cultures).[1][2][3][4][5][6][7][8]";"Short-duration acute rhinosinusitis with purulent nasal discharge and maxillary sinus tenderness, without severe features or prolonged course; the appropriate next step is symptomatic treatment with ibuprofen and decongestants rather than imaging or antibiotics."
143;Gilson Inácio da Silva;Equipe 2 - Medicina;143;142;"A 16-year-old boy with VATER syndrome is brought to the physician
because of 2-week history of harsh cough that
began with a common cold. He receives no medications. Temperature is
37°C (98.6°F), pulse is 70/min, respirations
are 20/min, and blood pressure is 112/64 mm Hg. Examination shows a
harsh vibratory sound in the mid anterior
chest with forced expiration. A systolic murmur is heard best at the lower
left sternal border. There is mild scoliosis.
Spirometry shows an FVC of 2.54 L (78% of predicted) and a slow vital
capacity of 2.88 L (85% of predicted). A
flow volume loop shows scooping on the expiratory limb. Which of the
following is the most likely cause of the
discrepancy between this patient’s forced and slow vital capacity
measurements?";Bronchospasm;Laryngeal braking;Subglottic mass;Tracheal collapse;Upper airway compression;;;;;D;D;Hard;Pediatric Pulmonology;Literature on tracheomalacia / dynamic tracheal collapse;"Tracheal collapse
The clinical context (history of TEF in VATER association, harsh expiratory
vibratory sound) and spirometry pattern (expiratory scooping on the flow–
volume loop) point to intrathoracic tracheomalacia with dynamic expiratory
collapse. During a forced maneuver, dynamic central airway collapse and early
airway closure reduce exhaled volume, so FVC underestimates true vital
capacity, whereas SVC obtained with a slow maneuver is less affected and closer
to the actual VC. This produces the observed FVC < SVC discrepancy. The
American Thoracic Society/European Respiratory Society technical standards
recognize that dynamic airway collapsibility can lead to a lower FVC than SVC
and that inspiratory–expiratory loop abnormalities help localize intrathoracic
central airway obstruction.[1] Tracheomalacia is classically associated with TEF/
EA and VACTERL, and presents with barking/harsh cough and expiratory noise;
expiratory flow–volume “scooping” and dynamic collapse are well described in
pediatric tracheobronchomalacia.[2][3][4][5]
Alternatives are less consistent:
Bronchospasm primarily causes airflow limitation but does not typically
explain a marked SVC > FVC difference attributable to dynamic central
airway collapse.[6][7][8]
Laryngeal braking and extrathoracic lesions (subglottic mass, upper airway
compression) produce inspiratory plateaus or variable extrathoracic
patterns rather than intrathoracic expiratory collapse with scooped
expiratory limb.[1]
Thus, dynamic intrathoracic airway collapse best explains the discrepant FVC
and SVC in this patient.[1][2][3][4][5]";"Teenager with VATER syndrome, harsh expiratory cough/noise, and expiratory flow-volume loop abnormality; the discrepancy between FVC and slow vital capacity is best explained by dynamic intrathoracic tracheal collapse (tracheomalacia)."
144;Gilson Inácio da Silva;Equipe 2 - Medicina;144;143;"A chief medical officer at a hospital has received several reports that one of
her colleagues, a 64-year-old male
surgeon, has “not been acting like himself” recently. An administrative
assistant says that during the past 6 months,
the surgeon’s dictations have become hard to follow and appear to be
missing information; previously, they were
comprehensive and easy to transcribe. The assistant adds that after the
surgeon missed three meetings in a row
during the past 2 months, he asked her to send him a text message 5
minutes before the next meeting to let him
know its location. Previously, he was always in attendance and on time for
meetings. A senior resident also has
noted unusual behavior by the surgeon; the resident says that while on
rounds 3 days ago, the surgeon listed
incorrect indications for a specific surgical procedure. A scrub nurse
reported that the surgeon used unsterile
practices three times during a 2-hour procedure today. The chief medical
officer meets with the surgeon and asks
him about these reported incidents. The surgeon says that “nothing is
wrong” and the people who reported him are
angry with him for various reasons and “are trying to stir up trouble.”
Which of the following is the most appropriate
action for the chief medical officer to take?";Accept the surgeon’s answer and only pursue further action if there is;Determine whether other staff have noticed anything different about;Inform the surgeon that he should consider retirement;Instruct the surgeon to take a temporary leave of absence and undergo;;;;;;D;D;Medium;Medical Ethics / Psychiatry;Guidance on impaired physician and patient safety;"The most appropriate action is to Instruct the surgeon to take a temporary
leave of absence and undergo a medical evaluation.
Recent cognitive and behavioral changes with patient safety implications
(incorrect indications, unsterile technique) constitute a sentinel concern that
warrants immediate restriction of clinical duties and prompt, formal fitness-for-
duty evaluation, irrespective of the surgeon’s denial or lack of insight. Deferring
action until further complaints or informally canvassing staff risks patient harm
and delays necessary assessment.[1][2][3][4]
Best practices include:
Immediate temporary removal from clinical duties to protect patients while
evaluation proceeds.[2][3][4]
Comprehensive assessment encompassing medical, psychiatric, substance
use, sensory, and cognitive/neuropsychological testing (e.g., MoCA,
MicroCog; escalation to full neuropsychological assessment as indicated) to
determine fitness and guide remediation or scope modification.[1][2][3][5]
[6][7][8]
A supportive, policy-based process through the medical staff well-being/
credentialing structure, with pathways for remediation, restriction, or
retirement calibrated to findings.[1][2][3][5]
• 
• 
• 
Rationale: Physicians are poor self-assessors; peer reports alone are insufficient
safeguards. Institutional policies and the American College of Physicians
emphasize acting on credible concerns to ensure patient safety, with
rehabilitation and reintegration when possible.[1][3][7][8]";"Older surgeon with progressive cognitive and behavioral changes affecting documentation, judgment, and sterile technique; the appropriate action is temporary removal from clinical duties and formal medical evaluation to protect patient safety."
145;Gilson Inácio da Silva;Equipe 2 - Medicina;145;144;"A 33-year-old woman is admitted to the hospital because of visual field loss
following a 48-hour history of acute eye
pain. She also has a 3-week history of numbness and a feeling of
""heaviness"" in both legs. She has no history of
serious illness and takes no medications. Six weeks ago, she returned from
a hiking expedition in the northeastern
USA; she has no recent history of international travel. Vital signs are within
normal limits. Muscle strength is 5/5 in
the upper extremities, 3/5 in the hip flexors and knee extensors, and 4/5
in the knee flexors and ankle dorsiflexors.
Patellar and ankle reflexes are 3+ bilaterally, and there is nonsustained
ankle clonus bilaterally. Sensation to
pinprick is absent throughout the lower extremities. Ophthalmologic
examination discloses optic neuritis and
reconfirms the visual field loss. Which of the following studies is most likely
to confirm the diagnosis?";CT scan of the cervical spine;Electromyography and nerve conduction studies;Lumbar puncture for examination of cerebrospinal fluid;Measurement of serum Lyme (Borrelia burgdorferi) antibody;MRI of the brain;;;;;E;E;Medium;Neurology;Guidance on optic neuritis / demyelinating disease / multiple sclerosis;"Magnetic resonance imaging of the brain
The presentation (acute optic neuritis, painful visual loss, and concurrent
pyramidal and sensory signs with hyperreflexia and clonus) is classic for a
demyelinating clinically isolated syndrome highly suggestive of multiple sclerosis
(MS). Brain MRI is the most sensitive test to demonstrate characteristic
demyelinating lesions in typical locations and to establish dissemination in space
and, with contrast or new lesions over time, dissemination in time, enabling
confirmation per contemporary diagnostic practice.[1][2][3][4] In optic neuritis
cohorts, abnormal brain MRI strongly predicts conversion to MS and
outperforms other modalities for initial confirmation, while optic nerve/3D-DIR
sequences further increase sensitivity to optic pathway involvement in MS
contexts.[1][2][3]
CSF analysis for oligoclonal bands supports diagnosis and can substitute for
dissemination in time under the 2017 McDonald framework, increasing
diagnostic sensitivity when MRI shows dissemination in space; however, MRI
remains the primary study to confirm MS in this clinical scenario and LP is
typically reserved for atypical or equivocal cases.[2][4][5][6][7]
Computed tomography lacks sensitivity for demyelination. Electromyography/
nerve conduction studies evaluate peripheral neuropathies and neuromuscular
disorders rather than central demyelination, and are not confirmatory here.[8][9]
Lyme serology is not first-line in this presentation without specific
epidemiologic or clinical features suggesting neuroborreliosis.";"Young woman with optic neuritis and upper motor neuron signs in the lower extremities; the presentation is highly suggestive of a demyelinating disorder such as multiple sclerosis, and brain MRI is the most appropriate study to confirm the diagnosis."
