official_id;student;team;kqa_source_index;question;gold_answer;must_have;nice_to_have;sources;icd_10_diag;difficulty;specialty;reference_used;curator_notes
86;Gilson Inácio da Silva;Equipe 2 - Medicina;86;If the muscle aches continue without exercising, should I be concerned?;If your muscle ache continues without exercising, you should consult with your healthcare provider in order to obtain an accurate diagnosis. There are many causes of muscle aches, including overuse injury, trauma, viral and bacterial infections, medications, and rheumatic disease. Your doctor will take a full history, perform a physical examination, and possibly request laboratory studies and imaging.;If muscle ache continues without exercising, it is recommended to consult with a healthcare provider for an accurate diagnosis.;Viral infections can be a cause of muscle aches. | Overuse injury can be a cause of muscle aches. | Bacterial infections can be a cause of muscle aches. | Rheumatic disease can be a cause of muscle aches. | Imaging may be requested in the diagnostic process for muscle aches. | Laboratory studies may be requested in the diagnostic process for muscle aches. | Trauma can be a cause of muscle aches. | Certain medications can be a cause of muscle aches.;https://www.uptodate.com/contents/approach-to-the-patient-with-myalgia?search=muscle%20ache%20without%20exercise&source=search_result&selectedTitle=1~150&usage_type=default&display_rank=1;Other specified anxiety disorders;Easy;Clínica médica;UpToDate — Approach to the patient with myalgia;"Question about persistent muscle pain without exercise; focus on clinical evaluation and investigation of possible causes."
87;Gilson Inácio da Silva;Equipe 2 - Medicina;87;If the side effects of the Prozac become too much is there a wean down period I would have to go through or would I be able to stop it immediately?;It is typically recommended to avoid abruptly discontinuing selective serotonin reuptake inhibitors (SSRIs) as this may result in unpleasant withdrawal symptoms. While Prozac has a lower risk of such symptoms, it is still advisable to gradually reduce doses of 20mg over a period of 1-2 weeks before stopping completely. Any change in your treatment plan should be done under your healthcare provider's guidance and supervision.;If experiencing unpleasant side effects from Prozac, it is recommended to avoid abruptly discontinuing the medication | Abrupt discontinuation of selective serotonin reuptake inhibitors (SSRIs) may result in withdrawal symptoms | Prozac has a lower risk of withdrawal symptoms compared to other SSRIs | It is advisable to gradually reduce Prozac doses of 20mg over a period of 1-2 weeks before stopping completel | Any change in your treatment plan should be done under your healthcare provider's guidance and supervision.;;"https://www.uptodate.com/contents/discontinuing-antidepressant-medications-in-adults?search=fluoxetine%20withdrawal&source=search_result&selectedTitle=1~150&usage_type=default&display_rank=1
 

 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8841913/
 

 https://khealth.com/learn/antidepressants/how-long-does-prozac-stay-in-your-system/
 

 https://www.uptodate.com/contents/fluoxetine-drug-information?search=fluoxetine&source=panel_search_result&selectedTitle=1~149&usage_type=panel&kp_tab=drug_general&display_rank=1";Major depressive disorder, single episode, unspecified;Medium;Psiquiatria / Farmacologia;UpToDate — Discontinuing antidepressant medications in adults;"Question about discontinuation of fluoxetine; focus on tapering and the risk of withdrawal symptoms."
88;Gilson Inácio da Silva;Equipe 2 - Medicina;88;If this is just muscle strain, how many days should I expect the pain to go away?;If a muscle is stretched too much or too quickly, or if it is overworked, a muscle strain can occur. This can happen during an exercise or as a result of an accident. The time it takes to recover fully from a muscle strain depends on various factors, including the severity and location of the injury, your personal health history, and age. Mild strains can cause discomfort lasting from several days to several weeks, while severe strains can last for months. To reduce symptoms, rest the muscle, apply ice to the affected area, wrap the muscle with an elastic bandage, and take medication to relieve pain and swelling. Acetaminophen (Tylenol) and Ibuprofen (Advil, Motrin) are examples of such medications. Contact a healthcare provider if you experience any of the following: inability to move the injured muscle due to pain, worsening pain or swelling, recurrent strain of the same muscle, new symptoms, or symptoms that persist for more than two weeks.;If a muscle is stretched too much or too quickly, or if it is overworked, a muscle strain can occur | Muscle strains can happen during exercise or as a result of an accident | Recovery time from a muscle strain depends on factors such as severity, location, personal health history, and age | Mild muscle strains can cause discomfort lasting from several days to several weeks | Severe muscle strains can last for months | Acetaminophen (Tylenol) and Ibuprofen (Advil, Motrin) are examples of medications to relieve pain and swelling from a muscle strain | Contact a healthcare provider if you experience inability to move the injured muscle due to pain | Contact a healthcare provider if you experience worsening pain or swelling | Contact a healthcare provider if you experience recurrent strain of the same muscle | Contact a healthcare provider if you experience new symptoms | Contact a healthcare provider if symptoms persist for more than two weeks;To reduce symptoms of a muscle strain, rest the muscle | To reduce symptoms of a muscle strain, apply ice to the affected area | To reduce symptoms of a muscle strain, wrap the muscle with an elastic bandage;"https://www.uptodate.com/contents/muscle-strain-the-basics?search=muscle%20strain&source=search_result&selectedTitle=1~127&usage_type=default&display_rank=1
 https://my.clevelandclinic.org/health/diseases/22336-muscle-strains
 https://www.afcurgentcaremonroerd.com/how-long-does-pain-from-a-pulled-muscle-last/
 https://starkvilleurgentcareclinic.com/muscle-strains-know-how-long-they-take-to-heal/
 https://www.drugs.com/cg/muscle-strain.html#:~:text=For%20mild%20and%20moderate%20muscle,ice%20on%20the%20injured%20area.";;Easy;Ortopedia / Clínica Médica;UpToDate — Muscle strain (The Basics);Question about the expected recovery time for a muscle strain.
89;Gilson Inácio da Silva;Equipe 2 - Medicina;89;Im confused what creatinine?;The body produces creatinine as a byproduct of muscle cells breaking down creatine phosphate for energy. The kidneys filter creatinine out of the blood and eliminate it through urine. Creatinine levels that are high in the blood and low in urine may indicate kidney problems. Doctors can use creatinine levels, along with patient age, gender, and race, to calculate eGFR, which helps assess kidney function. Healthcare providers may request creatinine testing as part of a regular check-up or if kidney disease is suspected. It's worth noting that intense exercise and some medications can lead to temporarily elevated serum creatinine levels.;Creatinine is a byproduct of muscle cells breaking down creatine phosphate for energy | The kidneys filter creatinine out of the blood and eliminate it through urine | High creatinine levels in the blood and low levels in urine may indicate kidney problems | Intense exercise can lead to temporarily elevated serum creatinine levels | Some medications can lead to temporarily elevated serum creatinine level;Healthcare providers may request creatinine testing as part of a regular check-up or if kidney disease is suspected | Doctors can use creatinine levels, along with patient age, gender, and race, to calculate eGFR, which helps assess kidney function;"https://labtestsonline.org.uk/tests/creatinine
 

 https://medlineplus.gov/lab-tests/creatinine-test/
 

 https://www.niddk.nih.gov/health-information/professionals/clinical-tools-patient-management/kidney-disease/laboratory-evaluation/frequently-asked-questions";;Easy;Nefrologia / Medicina Laboratorial;MedlinePlus / Lab Tests Online — Creatinine test;Conceptual question about creatinine and its clinical usefulness.
90;Gilson Inácio da Silva;Equipe 2 - Medicina;90;In any case, is a product like abreva still good to use for cold sore treatment?;Docosanol (Abreva) is a topical antiviral treatment that can be purchased over the counter to help soothe cold sores or fever blisters on the face and lips. It's important to note that studies have produced mixed results regarding the efficacy of Abreva. In addition, Abreva does not cure HSV1 or HSV2 or prevent the virus from spreading. Typically, cold sores will resolve by themselves within a few days, but you can take medication to alleviate symptoms, such as local topical anesthetics like lidocaine. If you experience more severe recurrences, oral antiviral medication like acyclovir (Zovirax) may be prescribed.;Cold sores are usually self-limited and recover whithin a few days. | Studies show conflicted data regarding the potential benefits of Docosanol (Abreva) for treating cold sores. | Docosanol (Abreva) is an over-the-counter antiviral topical treatment for cold sores or fever blisters on the face and lips. | In occasional and more severe recurrence of cold sores, oral antiviral medication such as acyclovir (zovirax) is an optional treatment. | Docosanol (Abreva) does not cure HSV1 and does not prevent the passing of the virus. | Docosanol (Abreva) does not cure HSV2 and does not prevent the passing of the virus.;Medication such as local topical anesthetics like lidocaine could be taken to relieve symptoms of cold sores.;"https://www-uptodate-com.meir.idm.oclc.org/contents/docosanol-drug-information?search=abreva&topicRef=8287&source=see_link#F162115
 https://www-uptodate-com.meir.idm.oclc.org/contents/treatment-and-prevention-of-herpes-simplex-virus-type-1-in-immunocompetent-adolescents-and-adults?search=docosanol&source=search_result&selectedTitle=2~3&usage_type=default&display_rank=1";;Easy;Dermatologia;UpToDate — Docosanol drug information;Question about the treatment of herpes labialis with docosanol (Abreva).
91;Gilson Inácio da Silva;Equipe 2 - Medicina;91;In case it does turn out to be fungal, would it be bad to pick up an OTC anti-fungal like Tinactin to apply to the area or would that be a bad idea?;"If you have a fungal infection like athlete's foot, jock itch or ringworm, you can use over-the-counter topical antifungal drugs such as Tinactin to treat it. Apply the medication once or twice a day until the infection goes away, which usually takes around four weeks.
If topical antifungal therapy doesn't work or the infection is severe, your doctor may prescribe oral systemic antifungal therapy, with drugs like terbinafine and itraconazole.
For fungal nail infections, topical treatment options are limited to specific medications like Efinaconazole that are designed for nail disease. Alternatively, your doctor may prescribe oral terbinafine to treat the infection.";If you have a fungal infection like athlete's foot, you can use over-the-counter topical antifungal drugs such as Tinactin to treat it | If you have a fungal infection like jock itch, you can use over-the-counter topical antifungal drugs such as Tinactin to treat it | If you have a fungal infection like ringworm, you can use over-the-counter topical antifungal drugs such as Tinactin to treat it | For fungal nail infections, topical treatment options are limited to specific medications like Efinaconazole that are designed for nail disease;Apply Tinactin once or twice a day until the infection goes away, which usually takes around four weeks | If topical antifungal therapy doesn't work or the infection is severe, your doctor may prescribe oral systemic antifungal therapy, with drugs like terbinafine and itraconazole | Alternatively, your doctor may prescribe oral terbinafine to treat fungal nail infections;"https://www.drugs.com/search.php?searchterm=Tinactin&a=1
 

 https://www.uptodate.com/contents/dermatophyte-tinea-infections?search=antifungals&source=search_result&selectedTitle=6~148&usage_type=default&display_rank=6#H300483
 

 https://www.uptodate.com/contents/tolnaftate-drug-information?search=tinactin&source=panel_search_result&selectedTitle=1~3&usage_type=panel&kp_tab=drug_general&display_rank=1";Anal fissure, unspecified;Easy;Dermatologia;"UpToDate — Dermatophyte (tinea) infection; Drugs.com — Tinactin";Question about the use of an over-the-counter topical antifungal if the lesion is fungal.
92;Gilson Inácio da Silva;Equipe 2 - Medicina;92;Is Augmentin the same thing as Amoxcicilin?;Augmentin is an antibacterial medication which is consisted of two active drugs: amoxicillin and clavulanic acid. Amoxicillin is an antibiotic from the penicillin family, which is used against certain bacterial infections. Some bacteria developed mechanisms of resistance to amoxicillin effect. The added-on compound of clavulanic acid inhibits some of these mechanisms which results in amoxicillin having a broader spectrum of anti-bacterial activity.;Augmentin is an antibacterial medication composed of two active drugs: amoxicillin and clavulanic acid. | Clavulanic acid, a component of Augmentin, inhibits some mechanisms of bacterial resistance to amoxicillin.;Amoxicillin is an antibiotic from the penicillin family, used against certain bacterial infections. | Some bacteria have developed mechanisms of resistance to amoxicillin.;https://www-uptodate-com.meir.idm.oclc.org/contents/amoxicillin-and-clavulanate-drug-information#F134594;;Easy;Farmacologia / Infectologia;UpToDate — Amoxicillin and clavulanate drug information;Question about the difference between Augmentin and amoxicillin.
93;Gilson Inácio da Silva;Equipe 2 - Medicina;93;Is Buspar a good medicine to take with the Zoloft?;"Both Buspirone (Buspar) and Sertraline (Zoloft) elevate the serotonin levels in the brain. 
This combination may increase the risk of serotonin syndrome, a serious and life-threatening condition. Symptoms of serotonin syndrome include diarrhea, nausea, vomiting, tremors, sweating, high fever, muscle stiffness, seizures, and abnormal or rapid heartbeat. Patients taking both medications should be closely monitored for any of these symptoms. If you suspect serotonin syndrome, seek immediate medical attention.";Buspirone (Buspar) and Sertraline (Zoloft) both elevate serotonin levels in the brain | Combining Buspirone (Buspar) and Sertraline (Zoloft) may increase the risk of serotonin syndrome | Seek immediate medical attention if you suspect serotonin syndrome;Symptoms of serotonin syndrome can include diarrhea. | Symptoms of serotonin syndrome can include high fever. | Symptoms of serotonin syndrome can include tremor. | Symptoms of serotonin syndrome can include vomiting. | Symptoms of serotonin syndrome can include seizures. | Symptoms of serotonin syndrome can include abnormal or rapid heartbeat. | Symptoms of serotonin syndrome can include nausea. | Symptoms of serotonin syndrome can include sweating. | Symptoms of serotonin syndrome can include muscle stiffness. | Serotonin syndrome is a serious and life-threatening condition | Patients taking both Buspirone (Buspar) and Sertraline (Zoloft) should be closely monitored for symptoms of serotonin syndrome;"https://www.uptodate.com/contents/buspirone-drug-information?search=buspar&source=panel_search_result&selectedTitle=1~80&usage_type=panel&kp_tab=drug_general&display_rank=1#F143260
 

 https://www.uptodate.com/contents/buspirone-drug-information?search=buspar&source=panel_search_result&selectedTitle=1~80&usage_type=panel&kp_tab=drug_general&display_rank=1#F143260
 

 https://www.uptodate.com/drug-interactions/?source=responsive_home#di-document
 

 https://my.clevelandclinic.org/health/drugs/20084-buspirone-tablets
 

 https://my.clevelandclinic.org/health/diseases/17687-serotonin-syndrome";Other specified depressive episodes;Medium;Psiquiatria / Farmacologia;UpToDate — Buspirone drug information;Question about combining buspirone with sertraline, with emphasis on the safety of concomitant use.
94;Gilson Inácio da Silva;Equipe 2 - Medicina;94;Is Saxenda a daily injection?;Saxenda is an injection given once a day under the skin (subcutaneous) from a multi-dose injection pen, and it is suitable for self-injection after receiving a proper explanation about how to do so.;Saxenda is administered as a daily injection. | Saxenda is delivered from a multi-dose injection pen.;Saxenda is injected under the skin (subcutaneously). | Saxenda is suitable for self-injection after proper instruction.;"https://www.drugs.com/saxenda.html
 https://www.saxenda.com/about-saxenda/dosing-schedule.html";;Easy;Endocrinologia;Saxenda official dosing schedule;Objective question about the dosing frequency of Saxenda.
95;Gilson Inácio da Silva;Equipe 2 - Medicina;95;Is Valtrex the same thing as valacyclovir?;Valtrex is the US brand name for valacyclovir, used to treat shingles and chickenpox – both caused by the varicella-zoster virus.;Valtrex is the US brand name for the drug valacyclovir.;Valacyclovir is used to treat shingles and chickenpox. | Shingles and chickenpox are both caused by the varicella zoster virus.;https://www-uptodate-com.meir.idm.oclc.org/contents/valacyclovir-drug-information#F232777;Herpesviral vesicular dermatitis;Medium;Farmacologia / Infectologia;UpToDate — Valacyclovir drug information;Question about the equivalence between Valtrex and valacyclovir.
